Company Name and Designation,Project Title,Problem Statement,Type of Project,Departments eligible for the project,Program (UG/ PG) and year of study of student,Pre-requisites for the students,Duration of project (in weeks),Tentative start and end dates of the project,Stipend for the Project (per student per month),What will be the city of posting?,Will accommodation be provided?,If the city of posting isn't Mumbai would traveling expenses be covered?,Project Deliverables,Major Takeaways for Students,Can students use the name of your company & designation in their resumes after completing the project?,Will certificates and LoRs be provided to the students on successfully completing the project?
Biocon - Scientific Manager,Life Cycle Assesment for pharmaceutical manufacturing ,"1. Identification of environmental impact  hotspots through life cycle assessment and modelling
2. Measuring environmental impact using advanced impact assesment tools
3. Supporting ESG initiative of organization through LCA",Research,"Chemical Engineering, Civil Engineering, Energy Science Engineering, Environmental Science Engineering, Industrial Engineering and Operations Research","3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",NA,12 - 24,April 1st,7000 INR,Bangalore,No,No,LCA,Understanding environmental impact assesment,Yes,Yes
"NoQs, Founder and CEO",Creating analytical dashboards to gain insights from large sparse data sets: Empowering Data-Driven Insights,To extract relevant information from a very large sparse database intelligently and efficiently. ,Data Analyst and Machine Learning,"Aerospace Engineering, Applied Statistics and Informatics, Biosciences and Bioengineering, Chemical Engineering, Chemistry, Civil Engineering, Computer Science Engineering, Earth Science, Electrical Engineering, Energy Science Engineering, Environmental Science Engineering, EP/Physics, Humanities and Social Sciences, Industrial Design Centre, Industrial Engineering and Operations Research, Mathematics, Metallurgical Engineering and Materials Science, Mechanical Engineering, ANY BRANCH, Open to all departments","2nd year UG, 3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D, Open to all year students",Lots of Enthusiasm and Dedication,4-5,May cohort (May First week to June first week) AND June Cohort (June first week to July first week),0 (Focussed on Learning and gaining experience in ML and Data Analyst profiles),WFH,No,No,NA,"--> Data manipulation and visualization techniques.
--> Understanding the importance of data quality and preprocessing.
--> Implementing machine learning algorithms for predictive analysis.
--> Developing skills in building interactive dashboards for data presentation.
--> Learning about the potential of AI in automating repetitive tasks and decision-making processes.",Yes,Yes
"Prachi Services Inc, Director",Software Development for Environment Management,"We are guiding companies in Environment and Sustainability. We are developing software products which will help managing companies their energy efficiency, carbon footprint, water foot print, waste management etc. The interns will develop these software products with out support.",Software development,"Chemical Engineering, Civil Engineering, Computer Science Engineering, Environmental Science Engineering","2nd year UG, 3rd year UG, 1st year Mtech, 1st year Ph.D",Basic knowledge and interest in Software Development and Environmental Engineering,6,May 15,Rs 8000,Mumbai,No,No,Software product as mentioned above,"Industry exposure, Skill development in the field of Environmental Engineering, Software Development",Yes,Yes
I4C,Mobile Reader Zoom apk,"The project is about making a mobile app for a smart device. It will also give exposure to entrepreneurship. Will also give a chance to work on UPI, latest in fintech. Need someone with an entrepreneurial mindset, excellent at app development and easy to roll up sleeves.","IT/Software, entrepreneurship",ANY BRANCH,"3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D","Must know how to create apks, must be entrepreneurial (there will be trial & error involved)",8,Start - 9th May  End - 9th July,5000,Mumbai / Bangalore / Remote,Yes,No,"-> APK Documentation
-> Git 
-> Report
-> Background studies",Develop a real life application of project,Yes,Yes
I4C,Self Service Mobile Printing App with UPI Integration,Make an app for printers with UPI integration. Do the background research as well and take initiative. The user can download and install the app on their phone and interact with the printer and give commands.,"IT/ Software, IOT, ",ANY BRANCH,"3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D","Should be technically competent, Lot of initiatives & hands off work (should be pretrained) , Experience with android and IOS app development, Knowledge of how APIs work",8,"Start - 9th May  , end - 9th July",5000,Bangalore / Remote,Yes,No,"-> Android/IOS App
-> Documentation of the App
-> Documentation of Background Studies
-> Git Project","IOT App development, Fintech App development, UPI Integration, real live application",Yes,Yes
BA Continuum India Pvt Ltd,Low code app development platform,The idea is to build a software platform on which users can create highly customizable web applications for which layout and requisite data can be customized by end user and this customized layout can again be shared with other users.,Software Development/Computer Engineering,ANY BRANCH,"2nd year UG, 3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",Sound knowledge in programming,8,13th May to 12 July,Nil,Mumbai,No,No,Compose detailed software architecture for the low code app development platform.,"Students can get a chance to go through the novel idea to change the way how software are going to be developed in future. This project was also floated in Dec 2023 in IITB ILP program and two students Dhruv Saraswat from 2nd year UG mechanical engineering and Shrishti Gautam from 3rd year UG Mathematics program had successfully completed the internship. Also, during internship I can share experiences about going through challenges of developing complex software faced in industry. Can also provide details on Quantitative Finance field as since past 7 years I've been into Quant Finance field.  ",No,LoR may be provided but not the certificate.
"Aplos Ventures, CTO",Development of bridge mechanism for solar panel cleaning robots,Develop a mechanism for a flexible bridge for connection of 2 solar trackers such that it stays connected for a large angle deviation,Machine design,"Mechanical Engineering, ANY BRANCH","2nd year UG, 3rd year UG, 1st year MSc, 1st year Mtech","Reasonable skills of spatial imagination, creativity and proficiency with 3D cad",4-6,Its a live project. The student/s may choose depending on their free time,Negotiable,Mumbai for 1 week then work from home. ,No,No,Working prototype,Understanding the engineering involved in of solar power plants,Yes,"If requested. Can provide certificates. If a patent wad generated based on the work, we can issue a certificate saying the student contributed towards the patent. "
"Bharat Gold Ornaments Pvt Ltd, Managing Director",Generative AI for the Jewellery industry,"Traditional jewelry design methods often rely on the creativity of individual designers. This over time can lead to design stagnation. Generative AI based Image generator can help designers expand their creativity by providing sources of inspiration and creative design concepts using its vast knowledge and based on various factors such as style preferences, trends, cultural influences etc. But the current GAI based image generators are not well tuned for the jewelry industry and does not product satisfactory results. The proposed solution aims to bridge this gap by designing novel algorithms to adapt the current image generators such as stable diffusion using our proprietary data as well as open public data of jewelry to addresses these limitations.",Generative AI based Image Generator Software development,"Aerospace Engineering, Applied Statistics and Informatics, Biosciences and Bioengineering, Chemical Engineering, Chemistry, Civil Engineering, Computer Science Engineering, Earth Science, Electrical Engineering, Energy Science Engineering, Environmental Science Engineering, EP/Physics, Industrial Design Centre, Industrial Engineering and Operations Research, Mathematics, Metallurgical Engineering and Materials Science, Mechanical Engineering","2nd year UG, 3rd year UG, 1st year Mtech","Computer vision, deep learning, machine learning, Knowledge of state-of-the-art generative algorithms for computer vision and NLP such as diffusion models and LLMs",8 weeks,1 May - 30 June,25000,Work From Home,No,No,"Novel algorithm, software prototype (copyrightable or patentable)","Experience of Gen-AI algorithm for jewellery industry, development of novel algorithm for a industry problem",Yes,Yes
DY Patil Group Ramrao Adik Institute of Technology Nerul Navi Mumbai Associate Professor,Self Balancing bike ,"In modern technological era, in coming future we have to go for more AI based self driven cars/bikes. In this project, the main objective will be to develop a prototype for self powered as well as self balancing bike. Need to check feasibility on simulation software like MATLAB or etc. then select appropriate processor for programming, so that to achieve our objective.",Embedded Automation,"Computer Science Engineering, Electrical Engineering, Energy Science Engineering, Industrial Design Centre, Industrial Engineering and Operations Research, Metallurgical Engineering and Materials Science, Mechanical Engineering","3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D","Fundamental of Control System, MATLAB ",24,15 March 2024,no,not required,No,No,Prototype of self balancing self powered bike,"Learn on advance technology, simulation software. Benefited to students in their career. ",Yes,depends on management
"Flomoney, founder",Law gpt,To develop legal assistant for lawyer and judge for Singapore justice system. ,AI software development ,"Chemical Engineering, Computer Science Engineering, Earth Science, Humanities and Social Sciences","2nd year UG, 3rd year UG",Basic coding skills ,8,10th may - 10th July ,50k,Remotely,No,No,The endpoint will be a chatbot that can converse with a lawyer for his cases,They will be involved in developing a large language model ,Yes,Yes
